MacroDef.java; org.apache.tools.ant.taskdefs;	AntlibDefinition.java; org.apache.tools.ant.taskdefs;	
SchemaValidate.java; org.apache.tools.ant.taskdefs.optional;	XMLValidateTask.java; org.apache.tools.ant.taskdefs.optional;	
DotnetCompile.java; org.apache.tools.ant.taskdefs.optional.dotnet;	DotnetBaseMatchingTask.java; org.apache.tools.ant.taskdefs.optional.dotnet;	
Ilasm.java; org.apache.tools.ant.taskdefs.optional.dotnet;	DotnetBaseMatchingTask.java; org.apache.tools.ant.taskdefs.optional.dotnet;	
JonasDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
WebsphereDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
BorlandDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
IPlanetDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
WeblogicDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
ArchiveScanner.java; org.apache.tools.ant.types;	DirectoryScanner.java; org.apache.tools.ant;	
ArchiveFileSet.java; org.apache.tools.ant.types;	FileSet.java; org.apache.tools.ant.types;	
URLResource.java; org.apache.tools.ant.types.resources;	Resource.java; org.apache.tools.ant.types;	
FileResource.java; org.apache.tools.ant.types.resources;	Resource.java; org.apache.tools.ant.types;	
CompressedResource.java; org.apache.tools.ant.types.resources;	Resource.java; org.apache.tools.ant.types;	
